day_of_week,hour,dept_name,demand,is_weekend,hour_sin,hour_cos,dept_encoded,log_demand
0,0,alcohol,52,1,0.0,1.0,0,3.970291913552122
0,0,babies,400,1,0.0,1.0,1,5.993961427306569
0,0,bakery,1301,1,0.0,1.0,2,7.171656822768514
0,0,beverages,2970,1,0.0,1.0,3,7.9966538754626075
0,0,breakfast,721,1,0.0,1.0,4,6.582025138892826
0,0,bulk,33,1,0.0,1.0,5,3.5263605246161616
0,0,canned goods,1312,1,0.0,1.0,6,7.180069874302796
0,0,dairy eggs,6318,1,0.0,1.0,7,8.751316246773456
0,0,deli,1205,1,0.0,1.0,8,7.095064377287131
0,0,dry goods pasta,1035,1,0.0,1.0,9,6.943122422819428
0,0,frozen,2783,1,0.0,1.0,10,7.931644021454311
0,0,household,771,1,0.0,1.0,11,6.648984550024776
0,0,international,343,1,0.0,1.0,12,5.840641657373398
0,0,meat seafood,816,1,0.0,1.0,13,6.705639094860003
0,0,missing,123,1,0.0,1.0,14,4.820281565605037
0,0,other,41,1,0.0,1.0,15,3.7376696182833684
0,0,pantry,2340,1,0.0,1.0,16,7.75833346749091
0,0,personal care,527,1,0.0,1.0,17,6.269096283706261
0,0,pets,115,1,0.0,1.0,18,4.7535901911063645
0,0,produce,12716,1,0.0,1.0,19,9.450694960020746
0,0,snacks,2954,1,0.0,1.0,20,7.991253929840199
0,1,alcohol,39,1,0.25881904510252074,0.9659258262890683,0,3.6888794541139363
0,1,babies,142,1,0.25881904510252074,0.9659258262890683,1,4.962844630259907
0,1,bakery,698,1,0.25881904510252074,0.9659258262890683,2,6.54965074223381
0,1,beverages,1815,1,0.25881904510252074,0.9659258262890683,3,7.504391559161238
0,1,breakfast,515,1,0.25881904510252074,0.9659258262890683,4,6.246106765481563
0,1,bulk,25,1,0.25881904510252074,0.9659258262890683,5,3.258096538021482
0,1,canned goods,789,1,0.25881904510252074,0.9659258262890683,6,6.672032945461067
0,1,dairy eggs,3520,1,0.25881904510252074,0.9659258262890683,7,8.166500319155052
0,1,deli,646,1,0.25881904510252074,0.9659258262890683,8,6.472346294500901
0,1,dry goods pasta,654,1,0.25881904510252074,0.9659258262890683,9,6.484635235635252
0,1,frozen,1789,1,0.25881904510252074,0.9659258262890683,10,7.489970898834801
0,1,household,500,1,0.25881904510252074,0.9659258262890683,11,6.2166061010848646
0,1,international,233,1,0.25881904510252074,0.9659258262890683,12,5.455321115357702
0,1,meat seafood,539,1,0.25881904510252074,0.9659258262890683,13,6.29156913955832
0,1,missing,81,1,0.25881904510252074,0.9659258262890683,14,4.406719247264253
0,1,other,30,1,0.25881904510252074,0.9659258262890683,15,3.4339872044851463
0,1,pantry,1377,1,0.25881904510252074,0.9659258262890683,16,7.228388451573604
0,1,personal care,356,1,0.25881904510252074,0.9659258262890683,17,5.877735781779639
0,1,pets,60,1,0.25881904510252074,0.9659258262890683,18,4.110873864173311
0,1,produce,7059,1,0.25881904510252074,0.9659258262890683,19,8.862200330487287
0,1,snacks,1656,1,0.25881904510252074,0.9659258262890683,20,7.4127640174265625
0,2,alcohol,26,1,0.49999999999999994,0.8660254037844387,0,3.295836866004329
0,2,babies,93,1,0.49999999999999994,0.8660254037844387,1,4.543294782270004
0,2,bakery,468,1,0.49999999999999994,0.8660254037844387,2,6.150602768446279
0,2,beverages,1010,1,0.49999999999999994,0.8660254037844387,3,6.918695219020472
0,2,breakfast,259,1,0.49999999999999994,0.8660254037844387,4,5.560681631015528
0,2,bulk,15,1,0.49999999999999994,0.8660254037844387,5,2.772588722239781
0,2,canned goods,448,1,0.49999999999999994,0.8660254037844387,6,6.1070228877422545
